Dataset,Trial_1,Trial_1_params,Trial_2,Trial_2_params,Trial_3,Trial_3_params,Trial_4,Trial_4_params,Trial_5,Trial_5_params,Trial_6,Trial_6_params,Trial_7,Trial_7_params,Trial_8,Trial_8_params,Trial_9,Trial_9_params,Trial_10,Trial_10_params,Trial_11,Trial_11_params,Trial_12,Trial_12_params,Trial_13,Trial_13_params,Trial_14,Trial_14_params,Trial_15,Trial_15_params,Trial_16,Trial_16_params,Trial_17,Trial_17_params,Trial_18,Trial_18_params,Trial_19,Trial_19_params,Trial_20,Trial_20_params,Trial_21,Trial_21_params,Trial_22,Trial_22_params,Trial_23,Trial_23_params
GunPointAgeSpan,,,,,,,,,,,0.4968354430379746,,0.7215189873417721,,0.4936708860759494,,0.5063291139240507,,0.5063291139240507,,0.4335443037974683,,0.7120253164556962,,0.6424050632911392,,0.4113924050632911,,0.5063291139240507,,0.7689873417721519,,0.5063291139240507,,0.6835443037974683,,0.759493670886076,,0.5063291139240507,,0.3575949367088608,,0.5189873417721519,,0.7088607594936709,
GunPointMaleVersusFemale,,,,,,,,,,,0.4272151898734177,,0.7468354430379747,,0.5253164556962026,,0.7215189873417721,,0.4746835443037974,,0.4746835443037974,,0.5316455696202531,,0.6360759493670886,,0.5569620253164557,,0.7373417721518988,,0.6107594936708861,,0.5253164556962026,,0.7658227848101266,,0.6835443037974683,,0.4746835443037974,,0.2310126582278481,,0.5379746835443038,,0.5253164556962026,
GunPointOldVersusYoung,,,,,,,,,,,0.4761904761904761,,0.9682539682539684,,0.5238095238095238,,0.4507936507936508,,0.7047619047619048,,0.746031746031746,,0.9777777777777776,,1.0,,0.9968253968253968,,0.4761904761904761,,0.8793650793650793,,1.0,,0.9650793650793652,,0.7523809523809524,,0.4761904761904761,,0.2507936507936508,,0.8317460317460318,,0.9047619047619048,
Ham,,,,,,,,,,,0.5142857142857142,,0.5904761904761905,,0.5142857142857142,,0.7333333333333333,,0.5142857142857142,,0.5142857142857142,,0.6571428571428571,,0.6,,0.4857142857142857,,0.5142857142857142,,0.6571428571428571,,0.4857142857142857,,0.2666666666666666,,0.5142857142857142,,0.5142857142857142,,0.5142857142857142,,0.5142857142857142,,0.6190476190476191,
HandOutlines,,,,,,,,,,,0.8351351351351352,,0.6567567567567567,,0.845945945945946,,0.7432432432432432,,0.8945945945945946,,0.8378378378378378,,0.8486486486486486,,0.8621621621621621,,0.8567567567567568,,0.1702702702702702,,0.8729729729729729,,0.8918918918918919,,0.9,,0.8702702702702703,,0.7621621621621621,,0.6432432432432432,,0.8918918918918919,,0.8918918918918919,
Haptics,,,,,,,,,,,0.275974025974026,,0.2337662337662337,,0.2532467532467532,,0.1558441558441558,,0.2305194805194805,,0.1818181818181818,,0.4155844155844156,,0.3246753246753247,,0.25,,0.1883116883116883,,0.3149350649350649,,0.1948051948051948,,0.1071428571428571,,0.2857142857142857,,0.1883116883116883,,0.198051948051948,,0.2954545454545454,,0.25,
Herring,,,,,,,,,,,0.59375,,0.40625,,0.40625,,0.59375,,0.59375,,0.40625,,0.59375,,0.578125,,0.59375,,0.453125,,0.59375,,0.59375,,0.5,,0.40625,,0.59375,,0.609375,,0.59375,,0.546875,
HouseTwenty,,,,,,,,,,,0.5798319327731093,,0.2352941176470588,,0.5798319327731093,,0.7563025210084033,,0.5798319327731093,,0.3949579831932773,,0.6302521008403361,,0.4201680672268907,,0.453781512605042,,0.5966386554621849,,0.4201680672268907,,0.5798319327731093,,0.4705882352941176,,0.5294117647058824,,0.5714285714285714,,0.4201680672268907,,0.680672268907563,,0.6722689075630253,
InlineSkate,,,,,,,,,,,0.1654545454545454,,0.1618181818181818,,0.1563636363636363,,0.1545454545454545,,0.0927272727272727,,0.1218181818181818,,0.0745454545454545,,0.1836363636363636,,0.0963636363636363,,0.1818181818181818,,0.1654545454545454,,0.1636363636363636,,0.1254545454545454,,0.18,,0.1545454545454545,,0.12,,0.1909090909090909,,0.1872727272727272,
InsectEPGRegularTrain,,,,,,,,,,,0.8313253012048193,,0.4738955823293173,,0.357429718875502,,0.8313253012048193,,0.357429718875502,,0.4738955823293173,,0.8313253012048193,,0.4738955823293173,,0.5140562248995983,,0.1686746987951807,,0.8313253012048193,,0.8313253012048193,,0.5261044176706827,,0.4738955823293173,,0.357429718875502,,0.357429718875502,,0.8313253012048193,,0.8313253012048193,
InsectEPGSmallTrain,,,,,,,,,,,0.357429718875502,,0.0,,0.357429718875502,,0.1686746987951807,,0.1686746987951807,,0.357429718875502,,0.8313253012048193,,0.1686746987951807,,0.357429718875502,,0.5261044176706827,,0.4738955823293173,,0.1686746987951807,,0.4738955823293173,,0.1686746987951807,,0.357429718875502,,0.357429718875502,,0.8313253012048193,,0.8313253012048193,
